time,layout.data_offset,data[0],data[1],data[2],data[3],data[4]
1.7624507382842621e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507383304323e+18,0,0.0,-0.0,0.0,5.0,0.0
1.762450738430757e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507384412252e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507384917412e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507385923474e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507386424376e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507386926428e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507387432138e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507388416673e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507388919885e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507389909025e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507390427459e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507390926047e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507391441846e+18,0,0.0,-0.0,0.0,5.0,0.0
1.762450739194223e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507392945283e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507393461676e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507393964536e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507394471014e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507395467645e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507395974472e+18,0,0.0,-0.0,0.0,5.0,0.0
1.762450739650558e+18,0,0.0,-0.0,0.0,5.0,0.0
1.762450739672103e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507396774536e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507396837025e+18,0,0.0,-0.0,0.0,5.0,0.0
1.76245073968694e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507396912625e+18,0,0.0,-0.0,0.0,5.0,0.0
1.762450739694583e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507396992886e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507397055342e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507397108818e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507397207818e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507397264602e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507397334177e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507397340564e+18,0,0.0,-0.0,0.0,5.0,0.0
1.762450739741142e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507397453056e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507397500406e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507397581704e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507397613568e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507397684467e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507397723932e+18,0,0.0,-0.0,0.0,5.0,0.0
1.762450739775758e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507397800358e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507397847255e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507397899154e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507397963459e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507397990031e+18,0,0.0,-0.0,0.0,5.0,0.0
1.762450739806047e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507398127263e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507398557007e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507398589043e+18,0,0.0,-0.0,0.0,5.0,0.0
1.762450739865149e+18,0,0.0,-0.0,0.0,5.0,0.0
1.762450739870427e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507398737533e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507398777098e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507398808512e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507398840312e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507398876713e+18,0,0.0,-0.0,0.0,5.0,0.0
1.762450739892074e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507398955999e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507398991596e+18,0,0.0,-0.0,0.0,5.0,0.0
1.762450739903221e+18,0,0.0,-0.0,0.0,5.0,0.0
1.762450739960464e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507400122158e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507400624246e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507401127634e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507401640136e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507401701604e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507401780104e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507401848233e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507401909092e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507401953825e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507402007245e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507402073674e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507402139228e+18,0,0.0,-0.0,0.0,5.0,0.0
1.762450740218715e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507402248957e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507402285594e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507402315566e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507402367478e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507402379041e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507402417257e+18,0,0.0,-0.0,0.0,5.0,0.0
1.7624507402467873e+18,0,0.0,-0.0,0.0,5.0,0.0
