time,data
1.762450736405897e+18,Error Code 0: No fault - Motor operating normally
1.762450736456425e+18,Error Code 0: No fault - Motor operating normally
1.7624507365052104e+18,Error Code 0: No fault - Motor operating normally
1.762450736555885e+18,Error Code 0: No fault - Motor operating normally
1.7624507366059282e+18,Error Code 0: No fault - Motor operating normally
1.7624507366557696e+18,Error Code 0: No fault - Motor operating normally
1.7624507367057413e+18,Error Code 0: No fault - Motor operating normally
1.7624507367552579e+18,Error Code 0: No fault - Motor operating normally
1.7624507368057882e+18,Error Code 0: No fault - Motor operating normally
1.7624507368561718e+18,Error Code 0: No fault - Motor operating normally
1.7624507369062646e+18,Error Code 0: No fault - Motor operating normally
1.762450736955623e+18,Error Code 0: No fault - Motor operating normally
1.7624507370057393e+18,Error Code 0: No fault - Motor operating normally
1.7624507370559168e+18,Error Code 0: No fault - Motor operating normally
1.7624507371059612e+18,Error Code 0: No fault - Motor operating normally
1.7624507371551565e+18,Error Code 0: No fault - Motor operating normally
1.7624507372061156e+18,Error Code 0: No fault - Motor operating normally
1.762450737255763e+18,Error Code 0: No fault - Motor operating normally
1.7624507373060925e+18,Error Code 0: No fault - Motor operating normally
1.762450737355792e+18,Error Code 0: No fault - Motor operating normally
1.762450737405312e+18,Error Code 0: No fault - Motor operating normally
1.7624507374553354e+18,Error Code 0: No fault - Motor operating normally
1.7624507375061053e+18,Error Code 0: No fault - Motor operating normally
1.7624507375562696e+18,Error Code 0: No fault - Motor operating normally
1.76245073760581e+18,Error Code 0: No fault - Motor operating normally
1.7624507376559163e+18,Error Code 0: No fault - Motor operating normally
1.7624507377055278e+18,Error Code 0: No fault - Motor operating normally
1.7624507377552054e+18,Error Code 0: No fault - Motor operating normally
1.7624507378053478e+18,Error Code 0: No fault - Motor operating normally
1.7624507378569367e+18,Error Code 0: No fault - Motor operating normally
1.7624507379053222e+18,Error Code 0: No fault - Motor operating normally
1.7624507379557668e+18,Error Code 0: No fault - Motor operating normally
1.7624507380069824e+18,Error Code 0: No fault - Motor operating normally
1.762450738055796e+18,Error Code 0: No fault - Motor operating normally
1.7624507381055237e+18,Error Code 0: No fault - Motor operating normally
1.7624507381563904e+18,Error Code 0: No fault - Motor operating normally
1.7624507382069427e+18,Error Code 0: No fault - Motor operating normally
1.7624507382557896e+18,Error Code 0: No fault - Motor operating normally
1.762450738290044e+18,Error Code 0: No fault - Motor operating normally
1.7624507383074563e+18,Error Code 0: No fault - Motor operating normally
1.762450738355764e+18,Error Code 0: No fault - Motor operating normally
1.762450738405531e+18,Error Code 0: No fault - Motor operating normally
1.7624507384549263e+18,Error Code 0: No fault - Motor operating normally
1.762450738506568e+18,Error Code 0: No fault - Motor operating normally
1.76245073855657e+18,Error Code 0: No fault - Motor operating normally
1.76245073860551e+18,Error Code 0: No fault - Motor operating normally
1.7624507386561068e+18,Error Code 0: No fault - Motor operating normally
1.7624507387057876e+18,Error Code 0: No fault - Motor operating normally
1.7624507387558784e+18,Error Code 0: No fault - Motor operating normally
1.7624507388051791e+18,Error Code 0: No fault - Motor operating normally
1.7624507388557023e+18,Error Code 0: No fault - Motor operating normally
1.7624507389065582e+18,Error Code 0: No fault - Motor operating normally
1.762450738957084e+18,Error Code 0: No fault - Motor operating normally
1.762450739006174e+18,Error Code 0: No fault - Motor operating normally
1.7624507390555505e+18,Error Code 0: No fault - Motor operating normally
1.7624507391051487e+18,Error Code 0: No fault - Motor operating normally
1.7624507391568259e+18,Error Code 0: No fault - Motor operating normally
1.7624507392057987e+18,Error Code 0: No fault - Motor operating normally
1.7624507392561155e+18,Error Code 0: No fault - Motor operating normally
1.7624507393060375e+18,Error Code 0: No fault - Motor operating normally
1.7624507393559777e+18,Error Code 0: No fault - Motor operating normally
1.7624507394053245e+18,Error Code 0: No fault - Motor operating normally
1.76245073945806e+18,Error Code 0: No fault - Motor operating normally
1.7624507395057997e+18,Error Code 0: No fault - Motor operating normally
1.7624507395576525e+18,Error Code 0: No fault - Motor operating normally
1.7624507396089121e+18,Error Code 0: No fault - Motor operating normally
1.7624507396568223e+18,Error Code 0: No fault - Motor operating normally
1.7624507397081362e+18,Error Code 0: No fault - Motor operating normally
1.762450739765606e+18,Error Code 0: No fault - Motor operating normally
1.7624507398062036e+18,Error Code 0: No fault - Motor operating normally
1.7624507398560056e+18,Error Code 0: No fault - Motor operating normally
1.7624507399083996e+18,Error Code 0: No fault - Motor operating normally
1.7624507399567526e+18,Error Code 0: No fault - Motor operating normally
1.7624507400063409e+18,Error Code 0: No fault - Motor operating normally
1.7624507400552914e+18,Error Code 0: No fault - Motor operating normally
1.7624507401055076e+18,Error Code 0: No fault - Motor operating normally
1.7624507401563328e+18,Error Code 0: No fault - Motor operating normally
1.7624507402122132e+18,Error Code 0: No fault - Motor operating normally
1.7624507402665871e+18,Error Code 0: No fault - Motor operating normally
1.7624507403053683e+18,Error Code 0: No fault - Motor operating normally
1.7624507403589821e+18,Error Code 0: No fault - Motor operating normally
1.7624507404106883e+18,Error Code 0: No fault - Motor operating normally
1.7624507404606533e+18,Error Code 0: No fault - Motor operating normally
1.7624507405072453e+18,Error Code 0: No fault - Motor operating normally
1.7624507405568696e+18,Error Code 0: No fault - Motor operating normally
1.762450740612102e+18,Error Code 0: No fault - Motor operating normally
1.7624507406568195e+18,Error Code 0: No fault - Motor operating normally
1.76245074070503e+18,Error Code 0: No fault - Motor operating normally
1.7624507407582228e+18,Error Code 0: No fault - Motor operating normally
1.7624507408070979e+18,Error Code 0: No fault - Motor operating normally
1.762450740858013e+18,Error Code 0: No fault - Motor operating normally
1.7624507409057677e+18,Error Code 0: No fault - Motor operating normally
1.7624507409619512e+18,Error Code 0: No fault - Motor operating normally
1.7624507410053967e+18,Error Code 0: No fault - Motor operating normally
1.7624507410553505e+18,Error Code 0: No fault - Motor operating normally
1.7624507411168922e+18,Error Code 0: No fault - Motor operating normally
1.7624507411596347e+18,Error Code 0: No fault - Motor operating normally
1.7624507412068787e+18,Error Code 0: No fault - Motor operating normally
1.762450741260532e+18,Error Code 0: No fault - Motor operating normally
1.7624507413226895e+18,Error Code 0: No fault - Motor operating normally
1.762450741363803e+18,Error Code 0: No fault - Motor operating normally
1.7624507414096904e+18,Error Code 0: No fault - Motor operating normally
1.7624507414587873e+18,Error Code 0: No fault - Motor operating normally
1.7624507415091592e+18,Error Code 0: No fault - Motor operating normally
1.762450741556148e+18,Error Code 0: No fault - Motor operating normally
1.7624507416061087e+18,Error Code 0: No fault - Motor operating normally
1.7624507416557345e+18,Error Code 0: No fault - Motor operating normally
1.762450741705051e+18,Error Code 0: No fault - Motor operating normally
