time,layout.data_offset,data[0],data[1],data[2],data[3],data[4]
1.7624507382853821e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507383306214e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507384315986e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507384436403e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507384920794e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507385925158e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507386459748e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507386928225e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507387455375e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507388426043e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507388921344e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507389921178e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507390428795e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507390960745e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507391471744e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507391946002e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507392987359e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450739347115e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507393966756e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507394475497e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507395490074e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507395979924e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507396508273e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507396722557e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507396805233e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507396841134e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507396869632e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507396913075e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507396956506e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507396993715e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507397065953e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507397109036e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450739720925e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507397271898e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507397335357e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507397346747e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450739741557e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507397458652e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507397506107e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507397582395e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507397626716e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450739768782e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507397724516e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450739776112e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450739780705e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507397856095e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507397907315e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507397964367e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450739801446e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450739806179e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507398129009e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450739855815e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450739859288e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507398651692e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507398708613e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507398738258e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507398779566e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507398812342e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507398843876e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507398877373e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507398922138e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450739895638e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507399001764e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507399051103e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507399632294e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507400128215e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450740062585e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507401133202e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450740164715e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507401720852e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450740178127e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507401850212e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507401911565e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507401957814e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507402022034e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507402082455e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507402139456e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450740218805e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507402272876e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450740228611e+18,0,0.0,0.0,0.0,0.5,0.0
1.76245074023326e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507402367992e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507402381002e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507402424207e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450740246875e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507402479122e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450740251528e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507402560922e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450740260964e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507402664591e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507402687667e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507402732163e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450740277545e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450740283881e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450740323928e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450740330581e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450740335168e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507403395738e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450740344699e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507403503598e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507403530906e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507404061332e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507404552412e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450740505658e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507405282483e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507405343616e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507405410578e+18,0,0.0,0.0,0.0,0.5,0.0
1.762450740545782e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507405512965e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507405531128e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507405599798e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507405625815e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507405686257e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507405729956e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507405778755e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507405804247e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507405848218e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507405883438e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507405915927e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507405956954e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507405985966e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507406035105e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507406156582e+18,0,0.0,0.0,0.0,0.5,0.0
1.7624507406193528e+18,0,0.0,0.0,0.0,0.5,0.0
