time,layout.data_offset,data[0],data[1],data[2],data[3],data[4]
1.762450738288718e+18,0,0.0,-0.0,0.0,2.5,0.0
1.7624507383334052e+18,0,0.0,-0.0,0.0,2.5,0.0
1.7624507384347674e+18,0,0.0,-0.0,0.0,2.5,0.0
1.7624507384437455e+18,0,0.0,-0.0,0.0,2.5,0.0
1.7624507384941827e+18,0,0.0,-0.0,0.0,2.5,0.0
1.762450738594871e+18,0,0.0,-0.0,0.0,2.5,0.0
1.7624507386460954e+18,0,0.0,-0.0,0.0,2.5,0.0
1.7624507386962767e+18,0,0.0,-0.0,0.0,2.5,0.0
1.7624507387457016e+18,0,0.0,-0.0,0.0,2.5,0.0
1.7624507388427996e+18,0,0.0,-0.0,0.0,2.5,0.0
1.762450738893653e+18,0,0.0,-0.0,0.0,2.5,0.0
1.762450738995336e+18,0,0.0,-0.0,0.0,2.5,0.0
1.7624507390440855e+18,0,0.0,-0.0,0.0,2.5,0.0
1.7624507390962399e+18,0,0.0,-0.0,0.0,2.5,0.0
1.7624507391473464e+18,0,0.0,-0.0,0.0,2.5,0.0
1.7624507391977897e+18,0,0.0,-0.0,0.0,2.5,0.0
1.7624507392989071e+18,0,0.0,-0.0,0.0,2.5,0.0
1.762450739348233e+18,0,0.0,-0.0,0.0,2.5,0.0
1.762450739398227e+18,0,0.0,-0.0,0.0,2.5,0.0
1.762450739449084e+18,0,0.0,-0.0,0.0,2.5,0.0
1.7624507395491546e+18,0,0.0,-0.0,0.0,2.5,0.0
1.7624507395990892e+18,0,0.0,-0.0,0.0,2.5,0.0
1.7624507396539372e+18,0,0.0,-0.0,0.0,2.5,0.0
1.762450739675076e+18,0,0.0,0.09832046460360289,0.0,2.5,0.0
1.762450739680694e+18,0,0.0,0.4904833249747753,0.0,2.5,0.0
1.7624507396841556e+18,0,0.0,0.6212042458355427,0.0,2.5,0.0
1.7624507396885204e+18,0,0.0,1.0133670642971992,0.0,2.5,0.0
1.7624507396928945e+18,0,0.0,1.274809017777443,0.0,2.5,0.0
1.7624507396966684e+18,0,0.0,1.5362508594989777,0.0,2.5,0.0
1.7624507397023363e+18,0,0.0,2.1898555755615234,0.0,2.5,0.0
1.7624507397107707e+18,0,0.0,2.5820184499025345,0.0,2.5,0.0
1.7624507397109486e+18,0,0.0,2.712739482522011,0.0,2.5,0.0
1.7624507397238868e+18,0,0.0,2.9741813242435455,0.0,2.5,0.0
1.7624507397289423e+18,0,0.0,3.7585070729255676,0.0,2.5,0.0
1.762450739733573e+18,0,0.0,3.889228105545044,0.0,2.5,0.0
1.762450739736583e+18,0,0.0,4.150669723749161,0.0,2.5,0.0
1.7624507397441505e+18,0,0.0,4.281390756368637,0.0,2.5,0.0
1.7624507397478515e+18,0,0.0,4.673553854227066,0.0,2.5,0.0
1.7624507397539745e+18,0,0.0,4.8042744398117065,0.0,2.5,0.0
1.7624507397582776e+18,0,0.0,5.1964375376701355,0.0,2.5,0.0
1.7624507397655875e+18,0,0.0,5.457879155874252,0.0,2.5,0.0
1.7624507397688676e+18,0,0.0,5.850042253732681,0.0,2.5,0.0
1.7624507397756864e+18,0,0.0,6.242204904556274,0.0,2.5,0.0
1.7624507397772431e+18,0,0.0,6.634368002414703,0.0,2.5,0.0
1.7624507397819087e+18,0,0.0,7.0265306532382965,0.0,2.5,0.0
1.7624507397877325e+18,0,0.0,7.4186937510967255,0.0,2.5,0.0
