time,data
1.762450736657533e+18,Error Code 0: No fault - Motor operating normally
1.7624507367073144e+18,Error Code 0: No fault - Motor operating normally
1.7624507367568968e+18,Error Code 0: No fault - Motor operating normally
1.7624507368073498e+18,Error Code 0: No fault - Motor operating normally
1.762450736857287e+18,Error Code 0: No fault - Motor operating normally
1.7624507369080312e+18,Error Code 0: No fault - Motor operating normally
1.7624507369570675e+18,Error Code 0: No fault - Motor operating normally
1.76245073700741e+18,Error Code 0: No fault - Motor operating normally
1.7624507370570655e+18,Error Code 0: No fault - Motor operating normally
1.7624507371068024e+18,Error Code 0: No fault - Motor operating normally
1.7624507371570335e+18,Error Code 0: No fault - Motor operating normally
1.762450737207118e+18,Error Code 0: No fault - Motor operating normally
1.7624507372571564e+18,Error Code 0: No fault - Motor operating normally
1.7624507373067768e+18,Error Code 0: No fault - Motor operating normally
1.7624507373573494e+18,Error Code 0: No fault - Motor operating normally
1.762450737407512e+18,Error Code 0: No fault - Motor operating normally
1.7624507374572662e+18,Error Code 0: No fault - Motor operating normally
1.7624507375068593e+18,Error Code 0: No fault - Motor operating normally
1.7624507375576384e+18,Error Code 0: No fault - Motor operating normally
1.7624507376069056e+18,Error Code 0: No fault - Motor operating normally
1.7624507376566433e+18,Error Code 0: No fault - Motor operating normally
1.7624507377063534e+18,Error Code 0: No fault - Motor operating normally
1.7624507377562122e+18,Error Code 0: No fault - Motor operating normally
1.762450737806321e+18,Error Code 0: No fault - Motor operating normally
1.7624507378569925e+18,Error Code 0: No fault - Motor operating normally
1.7624507379062863e+18,Error Code 0: No fault - Motor operating normally
1.7624507379575752e+18,Error Code 0: No fault - Motor operating normally
1.7624507380068529e+18,Error Code 0: No fault - Motor operating normally
1.7624507380566564e+18,Error Code 0: No fault - Motor operating normally
1.7624507381064049e+18,Error Code 0: No fault - Motor operating normally
1.762450738156324e+18,Error Code 0: No fault - Motor operating normally
1.762450738206879e+18,Error Code 0: No fault - Motor operating normally
1.762450738256197e+18,Error Code 0: No fault - Motor operating normally
1.7624507382975025e+18,Error Code 0: No fault - Motor operating normally
1.762450738309069e+18,Error Code 0: No fault - Motor operating normally
1.7624507383566986e+18,Error Code 0: No fault - Motor operating normally
1.762450738407071e+18,Error Code 0: No fault - Motor operating normally
1.76245073845598e+18,Error Code 0: No fault - Motor operating normally
1.7624507385071258e+18,Error Code 0: No fault - Motor operating normally
1.762450738557837e+18,Error Code 0: No fault - Motor operating normally
1.7624507386065298e+18,Error Code 0: No fault - Motor operating normally
1.7624507386570002e+18,Error Code 0: No fault - Motor operating normally
1.7624507387070687e+18,Error Code 0: No fault - Motor operating normally
1.7624507387573143e+18,Error Code 0: No fault - Motor operating normally
1.7624507388068703e+18,Error Code 0: No fault - Motor operating normally
1.7624507388567137e+18,Error Code 0: No fault - Motor operating normally
1.7624507389066225e+18,Error Code 0: No fault - Motor operating normally
1.762450738957139e+18,Error Code 0: No fault - Motor operating normally
1.7624507390066918e+18,Error Code 0: No fault - Motor operating normally
1.762450739056511e+18,Error Code 0: No fault - Motor operating normally
1.762450739106726e+18,Error Code 0: No fault - Motor operating normally
1.762450739157744e+18,Error Code 0: No fault - Motor operating normally
1.7624507392074386e+18,Error Code 0: No fault - Motor operating normally
1.7624507392575857e+18,Error Code 0: No fault - Motor operating normally
1.7624507393073344e+18,Error Code 0: No fault - Motor operating normally
1.7624507393577234e+18,Error Code 0: No fault - Motor operating normally
1.7624507394067044e+18,Error Code 0: No fault - Motor operating normally
1.7624507394569818e+18,Error Code 0: No fault - Motor operating normally
1.7624507395060344e+18,Error Code 0: No fault - Motor operating normally
1.762450739557711e+18,Error Code 0: No fault - Motor operating normally
1.7624507396077084e+18,Error Code 0: No fault - Motor operating normally
