time,data
1.762450731545014e+18,Error Code 0: No fault - Motor operating normally
1.7624507315952806e+18,Error Code 0: No fault - Motor operating normally
1.7624507316460598e+18,Error Code 0: No fault - Motor operating normally
1.762450731695294e+18,Error Code 0: No fault - Motor operating normally
1.762450731745246e+18,Error Code 0: No fault - Motor operating normally
1.7624507317943473e+18,Error Code 0: No fault - Motor operating normally
1.7624507318433807e+18,Error Code 0: No fault - Motor operating normally
1.7624507318948467e+18,Error Code 0: No fault - Motor operating normally
1.762450731944577e+18,Error Code 0: No fault - Motor operating normally
1.7624507319952604e+18,Error Code 0: No fault - Motor operating normally
1.7624507320455913e+18,Error Code 0: No fault - Motor operating normally
1.7624507320951985e+18,Error Code 0: No fault - Motor operating normally
1.7624507321441818e+18,Error Code 0: No fault - Motor operating normally
1.762450732194193e+18,Error Code 0: No fault - Motor operating normally
1.762450732244923e+18,Error Code 0: No fault - Motor operating normally
1.7624507322953354e+18,Error Code 0: No fault - Motor operating normally
1.762450732345292e+18,Error Code 0: No fault - Motor operating normally
1.7624507323951813e+18,Error Code 0: No fault - Motor operating normally
1.7624507324452908e+18,Error Code 0: No fault - Motor operating normally
1.7624507324940465e+18,Error Code 0: No fault - Motor operating normally
1.7624507325449882e+18,Error Code 0: No fault - Motor operating normally
1.7624507325935875e+18,Error Code 0: No fault - Motor operating normally
1.7624507326437704e+18,Error Code 0: No fault - Motor operating normally
1.7624507326942554e+18,Error Code 0: No fault - Motor operating normally
1.7624507327451272e+18,Error Code 0: No fault - Motor operating normally
1.7624507327938007e+18,Error Code 0: No fault - Motor operating normally
1.7624507328452572e+18,Error Code 0: No fault - Motor operating normally
1.7624507328937062e+18,Error Code 0: No fault - Motor operating normally
1.7624507329437082e+18,Error Code 0: No fault - Motor operating normally
1.762450732993677e+18,Error Code 0: No fault - Motor operating normally
1.7624507330434644e+18,Error Code 0: No fault - Motor operating normally
1.7624507330936965e+18,Error Code 0: No fault - Motor operating normally
1.7624507331438126e+18,Error Code 0: No fault - Motor operating normally
1.7624507331942495e+18,Error Code 0: No fault - Motor operating normally
1.7624507332444413e+18,Error Code 0: No fault - Motor operating normally
1.7624507332941532e+18,Error Code 0: No fault - Motor operating normally
1.7624507333438932e+18,Error Code 0: No fault - Motor operating normally
1.7624507333935393e+18,Error Code 0: No fault - Motor operating normally
1.762450733443916e+18,Error Code 0: No fault - Motor operating normally
1.7624507334939482e+18,Error Code 0: No fault - Motor operating normally
