time,data
1.7624507379155725e+18,Error Code 0: No fault - Motor operating normally
1.7624507379659564e+18,Error Code 0: No fault - Motor operating normally
1.7624507380159726e+18,Error Code 0: No fault - Motor operating normally
1.7624507380659218e+18,Error Code 0: No fault - Motor operating normally
1.7624507381159662e+18,Error Code 0: No fault - Motor operating normally
1.7624507381659715e+18,Error Code 0: No fault - Motor operating normally
1.76245073821628e+18,Error Code 0: No fault - Motor operating normally
1.7624507382661926e+18,Error Code 0: No fault - Motor operating normally
1.7624507382971494e+18,Error Code 0: No fault - Motor operating normally
1.7624507383154926e+18,Error Code 0: No fault - Motor operating normally
1.7624507383664998e+18,Error Code 0: No fault - Motor operating normally
1.7624507384159555e+18,Error Code 0: No fault - Motor operating normally
1.7624507384660654e+18,Error Code 0: No fault - Motor operating normally
1.762450738515876e+18,Error Code 0: No fault - Motor operating normally
1.7624507385658847e+18,Error Code 0: No fault - Motor operating normally
1.7624507386158822e+18,Error Code 0: No fault - Motor operating normally
1.7624507386660823e+18,Error Code 0: No fault - Motor operating normally
1.7624507387159972e+18,Error Code 0: No fault - Motor operating normally
1.7624507387662963e+18,Error Code 0: No fault - Motor operating normally
1.762450738815411e+18,Error Code 0: No fault - Motor operating normally
1.7624507388658755e+18,Error Code 0: No fault - Motor operating normally
1.7624507389154404e+18,Error Code 0: No fault - Motor operating normally
1.762450738965564e+18,Error Code 0: No fault - Motor operating normally
1.7624507390163581e+18,Error Code 0: No fault - Motor operating normally
1.7624507390654505e+18,Error Code 0: No fault - Motor operating normally
1.7624507391158323e+18,Error Code 0: No fault - Motor operating normally
1.7624507391658289e+18,Error Code 0: No fault - Motor operating normally
1.7624507392159644e+18,Error Code 0: No fault - Motor operating normally
1.762450739266021e+18,Error Code 0: No fault - Motor operating normally
1.7624507393158367e+18,Error Code 0: No fault - Motor operating normally
1.7624507393658191e+18,Error Code 0: No fault - Motor operating normally
1.762450739415771e+18,Error Code 0: No fault - Motor operating normally
1.762450739465962e+18,Error Code 0: No fault - Motor operating normally
1.7624507395155663e+18,Error Code 0: No fault - Motor operating normally
1.7624507395656381e+18,Error Code 0: No fault - Motor operating normally
1.7624507396160627e+18,Error Code 0: No fault - Motor operating normally
1.7624507396658504e+18,Error Code 0: No fault - Motor operating normally
1.762450739718261e+18,Error Code 0: No fault - Motor operating normally
1.7624507397910464e+18,Error Code 0: No fault - Motor operating normally
1.7624507398177088e+18,Error Code 0: No fault - Motor operating normally
1.7624507398691264e+18,Error Code 0: No fault - Motor operating normally
1.7624507399154373e+18,Error Code 0: No fault - Motor operating normally
1.7624507399672602e+18,Error Code 0: No fault - Motor operating normally
1.7624507400185175e+18,Error Code 0: No fault - Motor operating normally
1.7624507400680507e+18,Error Code 0: No fault - Motor operating normally
1.7624507401176202e+18,Error Code 0: No fault - Motor operating normally
1.7624507401720056e+18,Error Code 0: No fault - Motor operating normally
1.7624507402177047e+18,Error Code 0: No fault - Motor operating normally
